
         Overlap matrices  exact - Jain states for N=8 electrons
         --------------------------------------------------------


5-2-1_63j1        8-63-0              
OVERL  =   -0.95917505926907
OVERL2 =    0.92001679432383

5-2-1_63j1        8-63-1              
OVERL  =     1.9734522739274D-06
OVERL2 =     3.8945138774691D-12

5-2-1_64j1        8-64-0              
OVERL  =    0.61214101788814
OVERL2 =    0.37471662578112

5-2-1_64j1        8-64-1              
OVERL  =   -0.73978435388992
OVERL2 =    0.54728089026033

5-2-1_64j1        8-64-2              
OVERL  =     6.7210568463752D-02
OVERL2 =     4.5172605132208D-03

5-2-1_64j2        8-64-0              
OVERL  =    0.35506496065297
OVERL2 =    0.12607112628349

5-2-1_64j2        8-64-1              
OVERL  =    0.76139458190802
OVERL2 =    0.57972170935889

5-2-1_64j2        8-64-2              
OVERL  =    0.43989806401292
OVERL2 =    0.19351030672231

5-2-1_64j3        8-64-0              
OVERL  =    0.26115043959083
OVERL2 =     6.8199552098484D-02

5-2-1_64j3        8-64-1              
OVERL  =    0.45796870950407
OVERL2 =    0.20973533888482

5-2-1_64j3        8-64-2              
OVERL  =   -0.79045518896423
OVERL2 =    0.62481940576047

4-4_64j1          8-64-0              
OVERL  =    -1.2113199121447D-06
OVERL2 =     1.4672959295582D-12

4-4_64j1          8-64-1              
OVERL  =   -0.19671106486744
OVERL2 =     3.8695243041281D-02

4-4_65j1          8-65-0              
OVERL  =     1.6990012385619D-05
OVERL2 =     2.8866052086347D-10

4-4_65j1          8-65-1              
OVERL  =    -9.0918967370939D-02
OVERL2 =     8.2662586277978D-03

4-4_65j1          8-65-2              
OVERL  =    0.11531227012830
OVERL2 =     1.3296919642143D-02

4-4_65j2          8-65-0              
OVERL  =    -1.7134523240209D-05
OVERL2 =     2.9359188666927D-10

4-4_65j2          8-65-1              
OVERL  =     9.0917322818229D-02
OVERL2 =     8.2659595884340D-03

4-4_65j2          8-65-2              
OVERL  =    0.11531471005333
OVERL2 =     1.3297482354683D-02

4-4_66j1          8-66-0              
OVERL  =     6.0470676904318D-02
OVERL2 =     3.6567027652665D-03

4-4_66j1          8-66-1              
OVERL  =     7.5562983435132D-04
OVERL2 =     5.7097644656180D-07

4-4_66j1          8-66-2              
OVERL  =     4.9156727497744D-02
OVERL2 =     2.4163838582875D-03

4-4_66j2          8-66-0              
OVERL  =    0.88214859585892
OVERL2 =    0.77818614517587

4-4_66j2          8-66-1              
OVERL  =     8.2431922630465D-05
OVERL2 =     6.7950218685550D-09

4-4_66j2          8-66-2              
OVERL  =     7.1917132331779D-03
OVERL2 =     5.1720739228266D-05

4-4_66j3          8-66-0              
OVERL  =   -0.87367260658539
OVERL2 =    0.76330382349772

4-4_66j3          8-66-1              
OVERL  =     2.5880056521326D-05
OVERL2 =     6.6977732554703D-10

4-4_66j3          8-66-2              
OVERL  =     1.5777339042057D-05
OVERL2 =     2.4892442724802D-10

4-4_66j4          8-66-0              
OVERL  =    0.87032477981926
OVERL2 =    0.75746522236745

4-4_66j4          8-66-1              
OVERL  =    -1.9652031211898D-04
OVERL2 =     3.8620233075343D-08

4-4_66j4          8-66-2              
