
         Overlap matrices  exact - Jain states for N=6 electrons
         --------------------------------------------------------


4-1-1_33j1        6-33-0
OVERL  =    0.934838
OVERL2 =    0.873922

4-1-1_33j1        6-33-1
OVERL  =     2.22765E-10
OVERL2 =     4.96242E-20

4-1-1_34j1        6-34-0
OVERL  =   -0.652630
OVERL2 =    0.425926

4-1-1_34j1        6-34-1
OVERL  =    0.695153
OVERL2 =    0.483238

4-1-1_34j1        6-34-2
OVERL  =    -3.84298E-10
OVERL2 =     1.47685E-19

4-1-1_34j1        6-34-3
OVERL  =    -1.36231E-10
OVERL2 =     1.85590E-20

4-1-1_34j2        6-34-0
OVERL  =   -0.333402
OVERL2 =    0.111157

4-1-1_34j2        6-34-1
OVERL  =   -0.862709
OVERL2 =    0.744267

4-1-1_34j2        6-34-2
OVERL  =    -8.66165E-11
OVERL2 =     7.50242E-21

4-1-1_34j2        6-34-3
OVERL  =    -4.44442E-09
OVERL2 =     1.97529E-17

4-1-1_34j3        6-34-0
OVERL  =   -0.444511
OVERL2 =    0.197590

4-1-1_34j3        6-34-1
OVERL  =   -0.743682
OVERL2 =    0.553062

4-1-1_34j3        6-34-2
OVERL  =     2.52232E-10
OVERL2 =     6.36211E-20

4-1-1_34j3        6-34-3
OVERL  =    -1.07424E-09
OVERL2 =     1.15400E-18

3-3_33j1          6-33-0
OVERL  =   -0.289530
OVERL2 =     8.38279E-02

3-3_33j1          6-33-1
OVERL  =     1.14859E-09
OVERL2 =     1.31925E-18

3-3_34j1          6-34-0
OVERL  =    0.178115
OVERL2 =     3.17250E-02

3-3_34j1          6-34-1
OVERL  =    0.348497
OVERL2 =    0.121450

3-3_34j1          6-34-2
OVERL  =    -2.97568E-10
OVERL2 =     8.85470E-20

3-3_34j2          6-34-0
OVERL  =    0.178115
OVERL2 =     3.17250E-02

3-3_34j2          6-34-1
OVERL  =   -0.348497
OVERL2 =    0.121450

3-3_34j2          6-34-2
OVERL  =    -5.68467E-09
OVERL2 =     3.23155E-17

3-3_35j1          6-35-0
OVERL  =   -0.118315
OVERL2 =     1.39984E-02

3-3_35j1          6-35-1
OVERL  =    -7.17835E-02
OVERL2 =     5.15287E-03

3-3_35j1          6-35-2
OVERL  =    0.114326
OVERL2 =     1.30704E-02

3-3_35j1          6-35-3
OVERL  =    0.198627
OVERL2 =     3.94527E-02

3-3_35j1          6-35-4
OVERL  =     6.53055E-10
OVERL2 =     4.26481E-19

3-3_35j1          6-35-5
OVERL  =    -1.82607E-09
OVERL2 =     3.33454E-18

3-3_35j2          6-35-0
OVERL  =   -0.971101
OVERL2 =    0.943037

3-3_35j2          6-35-1
OVERL  =    -1.18013E-02
OVERL2 =     1.39271E-04

3-3_35j2          6-35-2
OVERL  =     9.60861E-02
OVERL2 =     9.23255E-03

3-3_35j2          6-35-3
OVERL  =     3.26546E-02
OVERL2 =     1.06632E-03

3-3_35j2          6-35-4
OVERL  =     3.61906E-10
OVERL2 =     1.30976E-19

3-3_35j2          6-35-5
OVERL  =    -1.06698E-09
OVERL2 =     1.13844E-18

3-3_35j3          6-35-0
OVERL  =    0.966694
